Title,Genre,Type,Producer,Studio,Rating,ScoredBy,Popularity,Members,Episodes,Source,Aired
Ashita no Kibou Kanashimi yo Arigatou  Takae Tsuneo Monogatari,"['Drama', 'Slice of Life']",Movie,['Gendai Production'],,5.83,12.0,12380.0,202.0,1.0,Unknown,"Feb 23, 2013"
Furueru Kuchibiru,['Hentai'],OVA,"['Pashmina', 'Studio 1st']",,6.83,2539.0,4618.0,5930.0,1.0,Manga,"Apr 25, 2014"
Bakumatsu Rock,"['Action', 'Music', 'Comedy', 'Historical', 'Shoujo']",TV,"['Nihon Ad Systems', 'Marvelous AQL', 'NBCUniversal Entertainment Japan']",['Studio Deen'],6.14,7067.0,2927.0,21550.0,12.0,Game,"Jul 2, 2014 to Sep 17, 2014"
Tennen Koiiro Alcohol,['Hentai'],OVA,"['BreakBottle', 'Media Bank']",,6.92,1509.0,5397.0,4117.0,2.0,Manga,"May 30, 2014 to Sep 12, 2014"
Nisou no Kuzu,['Psychological'],Movie,,,5.05,173.0,10820.0,423.0,1.0,Original,2004
Shinsatsushitsu,"['Dementia', 'Horror']",Movie,,,4.43,405.0,9300.0,810.0,1.0,Original,2005
HeyaKeitai,"['Fantasy', 'Music']",Movie,,,5.56,199.0,10632.0,471.0,1.0,Original,"Jan, 1999"
Usagi ga Kowai,"['Game', 'Dementia', 'Horror']",Movie,,,4.71,429.0,9272.0,897.0,1.0,Original,2002
Kaidan,['Supernatural'],Movie,,,4.98,166.0,10888.0,406.0,1.0,Original,2003
Tenkai Knights,"['Action', 'Adventure', 'Comedy', 'Kids', 'Mecha', 'Sci-Fi', 'Shounen', 'Super Power']",TV,,['Bones'],6.65,496.0,7567.0,1800.0,52.0,Original,"Apr 5, 2014 to Mar 28, 2015"
Glasslip,"['Romance', 'Slice of Life', 'Supernatural']",TV,"['Sotsu', 'Lantis', 'Pony Canyon', 'Showgate', 'Infinite']",['P.A. Works'],5.53,54100.0,869.0,114954.0,13.0,Original,"Jul 3, 2014 to Sep 25, 2014"
Happiness Charge PreCure Movie Ningyou no Kuni no Ballerina,"['Kids', 'Fantasy', 'Magic', 'Shoujo']",Movie,['Kinoshita Group Holdings'],['Toei Animation'],7.19,723.0,7586.0,1831.0,1.0,Original,"Oct 11, 2014"
Kikansha Sensei,"['Comedy', 'School', 'Slice of Life']",Movie,,,6.15,13.0,13792.0,125.0,1.0,Novel,"Mar 29, 1997"
Ponsuke no Haru,"['Comedy', 'Kids']",Movie,,,5.56,96.0,11873.0,202.0,1.0,Original,"Aug 1, 1934"
Kousagi Monogatari,"['Comedy', 'Kids']",Movie,,,6.22,9.0,14012.0,108.0,1.0,Original,"Mar, 1954"
Puchitto Gargantia Special,"['Comedy', 'Mecha', 'Sci-Fi']",Special,,['Production I.G'],6.1,1061.0,7398.0,2183.0,1.0,Unknown,"Sep 25, 2013"
Kuraibito,['Hentai'],OVA,,['PoRO'],6.32,1282.0,6099.0,3332.0,1.0,Visual novel,"Jun 27, 2014"
GOGO Tamagotchi,"['Comedy', 'Fantasy', 'Kids']",TV,,['OLM'],6.61,36.0,11502.0,298.0,50.0,Unknown,"Apr 3, 2014 to Mar 26, 2015"
Hamatora The Animation Saishuukai Chokuzen Mao ga Okuru,"['Mystery', 'Comedy', 'Super Power']",Special,['DIVE II Entertainment'],['NAZ'],6.86,1347.0,5196.0,5678.0,1.0,Unknown,"Mar 21, 2014"
Jinsei,"['Comedy', 'School', 'Slice of Life']",TV,"['VAP', 'Yomiuri Telecasting']",['feel.'],6.55,17185.0,1792.0,48988.0,13.0,Light novel,"Jul 6, 2014 to Sep 28, 2014"
